book_id,user_id,rating,id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
1,314,5,27,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter And The Half-Blood Prince,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
2,1169,3,21,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter And The Order Of The Phoenix,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
3,314,3,2,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter And The Philosopher'S Stone,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
5,314,4,18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter And The Prisoner Of Azkaban,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
6,173,5,24,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter And The Goblet Of Fire,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
8,588,3,3275,439682584,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",4.77,33220,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10,3662,4,3753,439827604,J.K. Rowling,2005,"Harry Potter Collection (Harry Potter, #1-6)",4.73,24618,https://images.gr-assets.com/books/1328867351m/10.jpg
11,439,4,54,345391802,Douglas Adams,1979,The Hitchhiker'S Guide To The Galaxy,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
13,1169,3,337,345453743,Douglas Adams,1996,The Ultimate Hitchhiker'S Guide: Five Complete Novels And One Story,4.37,222842,https://images.gr-assets.com/books/1404613595m/13.jpg
21,588,4,374,076790818X,Bill Bryson,2003,A Short History Of Nearly Everything,4.19,191535,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
24,588,4,1460,767903862,Bill Bryson,2000,Down Under,4.05,58688,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
25,588,5,1976,076790382X,Bill Bryson,1998,Notes From A Big Country,3.89,44610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
26,588,3,2321,60920084,Bill Bryson,1989,The Lost Continent: Travels In Small-Town America,3.83,40254,https://images.gr-assets.com/books/1404042682m/26.jpg
