id,book_id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
1,2767052,439023483,Suzanne Collins,2008,The Hunger Games,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,3,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter And The Philosopher'S Stone,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
3,41865,316015849,Stephenie Meyer,2005,Twilight,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,2657,61120081,Harper Lee,1960,To Kill A Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,11870085,525478817,John Green,2012,The Fault In Our Stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,5907,618260307,J.R.R. Tolkien,1937,The Hobbit Or There And Back Again,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,5107,316769177,J.D. Salinger,1951,The Catcher In The Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,960,1416524797,Dan Brown,2000,Angels & Demons ,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,1885,679783261,Jane Austen,1813,Pride And Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,77203,1594480001,Khaled Hosseini,2003,The Kite Runner ,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,13335037,62024035,Veronica Roth,2011,Divergent,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,7613,452284244,George Orwell,1945,Animal Farm: A Fairy Story,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 Juni 1942 - 1 Augustus 1944,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,2429135,307269752,"Stieg Larsson, Reg Keeland",2005,Män Som Hatar Kvinnor,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,6148028,439023491,Suzanne Collins,2009,Catching Fire,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter And The Prisoner Of Azkaban,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
19,34,618346252,J.R.R. Tolkien,1954, The Fellowship Of The Ring,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
20,7260188,439023513,Suzanne Collins,2010,Mockingjay,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,2,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter And The Order Of The Phoenix,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,12232938,316166685,Alice Sebold,2002,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,15881,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter And The Chamber Of Secrets,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,6,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter And The Goblet Of Fire,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
25,136251,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter And The Deathly Hallows,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,968,307277674,Dan Brown,2003,The Da Vinci Code,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
27,1,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter And The Half-Blood Prince,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
28,7624,140283331,William Golding,1954,Lord Of The Flies ,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,18135,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent Conceited Tragedie Of Romeo And Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,8442457,297859382,Gillian Flynn,2012,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,4667024,399155341,Kathryn Stockett,2009,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,890,142000671,John Steinbeck,1937,Of Mice And Men ,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
33,930,739326228,Arthur Golden,1997,Memoirs Of A Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,10818853,1612130291,E.L. James,2011,Fifty Shades Of Grey,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,865,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
36,3636,385732554,Lois Lowry,1993,The Giver,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,100915,60764899,C.S. Lewis,1950,"The Lion, The Witch And The Wardrobe",4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,14050,965818675,Audrey Niffenegger,2003,The Time Traveler'S Wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,13496,553588486,George R.R. Martin,1996,A Game Of Thrones,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,19501,143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love: One Woman'S Search For Everything Across Italy, India And Indonesia",3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,28187,786838655,Rick Riordan,2005,The Lightning Thief,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,1934,451529308,Louisa May Alcott,1868,Little Women,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,15931,553816713,Nicholas Sparks,1996,The Notebook,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,4214,770430074,Yann Martel,2001,Life Of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,43641,1565125606,Sara Gruen,2006,Water For Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,19063,375831002,Markus Zusak,2005,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,4381,307347974,Ray Bradbury,1953,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,30119,60513039,Shel Silverstein,1974,Where The Sidewalk Ends: The Poems And Drawings Of Shel Silverstein,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,256683,1416914285,Cassandra Clare,2007,City Of Bones,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,428263,316160202,Stephenie Meyer,2007,Eclipse,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,113436,375826696,Christopher Paolini,2002,Eragon,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,11,345391802,Douglas Adams,1979,The Hitchhiker'S Guide To The Galaxy,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
55,5129,60929871,Aldous Huxley,1932,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,1162543,031606792X,Stephenie Meyer,2008,Breaking Dawn,3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,37435,142001740,Sue Monk Kidd,2001,The Secret Life Of Bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures Of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte'S Web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1618,1400032717,Mark Haddon,2003,The Curious Incident Of The Dog In The Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,22557272,1594633665,Paula Hawkins,2015,The Girl On The Train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,119322,679879242,Philip Pullman,1995,Northern Lights,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,10917,743454537,Jodi Picoult,2004,My Sister'S Keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,4981,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, Or The Children'S Crusade: A Duty-Dance With Death ",4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,18405,446675539,Margaret Mitchell,1936,Gone With The Wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,22628,671027344,Stephen Chbosky,1999,The Perks Of Being A Wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,11735983,7442912,Veronica Roth,2012,Insurgent,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,375802,812550706,Orson Scott Card,1985,Ender'S Game,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; Or, The Modern Prometheus",3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,11588,450040186,Stephen King,1977,The Shining,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,1656001,316068047,Stephenie Meyer,2008,The Host,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,99561,142402516,John Green,2005,Looking For Alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,227443,014028009X,Helen Fielding,1996,"Bridget Jones'S Diary (Bridget Jones, #1)",3.75,736498,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense And Sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,38709,439244196,"Louis Sachar, Louis Sachar",1998,Holes,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,5139,307275558,Lauren Weisberger,2003,The Devil Wears Prada,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,7445,074324754X,Jeannette Walls,2005,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,1845,385486804,Jon Krakauer,1996,Into The Wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale Of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,7677,030734813X,Michael Crichton,1990,Jurassic Park,3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,370493,60256656,Shel Silverstein,1964,The Giving Tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,32542,385338600,John Grisham,1989,A Time To Kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Un Di Velt Hot Geshvign,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,6442769,014241493X,John Green,2008,Paper Towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,21787,345418263,William Goldman,1973,The Princess Bride,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,231804,014038572X,S.E. Hinton,1967,The Outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,6186357,385737947,James Dashner,2009,The Maze Runner,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien Años De Soledad,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
95,5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture Of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,13536860,345803507,E.L. James,2012,Fifty Shades Freed,3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,5060378,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan Som Lekte Med Elden,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,11857408,1612130585,E.L. James,2011,Fifty Shades Darker,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg
